,level,0,1,p,test
n,,202962,174999,,
218.1 (%),FALSE, 140237 ( 96.0) , 117591 (100.0) ,<0.001,
,TRUE,   5778 (  4.0) ,      1 (  0.0) ,,
218 (%),FALSE, 140078 ( 95.9) , 117591 (100.0) ,<0.001,
,TRUE,   5937 (  4.1) ,      1 (  0.0) ,,
age (mean (SD)),,  56.79 (7.84),  57.23 (8.03),<0.001,
age2 (mean (SD)),,3286.55 (870.23),3339.87 (893.77),<0.001,
gender (%),1,      0 (  0.0) , 174999 (100.0) ,<0.001,
,2, 202962 (100.0) ,      0 (  0.0) ,,
SEX (%),0, 202962 (100.0) ,      0 (  0.0) ,<0.001,
,1,      0 (  0.0) , 174999 (100.0) ,,
rs4077469_T (%),0,  73585 ( 36.5) ,  63127 ( 36.3) ,0.453,
,1,  96722 ( 48.0) ,  83615 ( 48.1) ,,
,2,  31111 ( 15.4) ,  26969 ( 15.5) ,,
